0,"minecraft:the_void"
1,"minecraft:plains"
2,"minecraft:sunflower_plains"
3,"minecraft:snowy_plains"
4,"minecraft:ice_spikes"
5,"minecraft:desert"
6,"minecraft:swamp"
7,"minecraft:mangrove_swamp"
8,"minecraft:forest"
9,"minecraft:flower_forest"
10,"minecraft:birch_forest"
11,"minecraft:dark_forest"
12,"minecraft:old_growth_birch_forest"
13,"minecraft:old_growth_pine_taiga"
14,"minecraft:old_growth_spruce_taiga"
15,"minecraft:taiga"
16,"minecraft:snowy_taiga"
17,"minecraft:savanna"
18,"minecraft:savanna_plateau"
19,"minecraft:windswept_hills"
20,"minecraft:windswept_gravelly_hills"
21,"minecraft:windswept_forest"
22,"minecraft:windswept_savanna"
23,"minecraft:jungle"
24,"minecraft:sparse_jungle"
25,"minecraft:bamboo_jungle"
26,"minecraft:badlands"
27,"minecraft:eroded_badlands"
28,"minecraft:wooded_badlands"
29,"minecraft:meadow"
30,"minecraft:grove"
31,"minecraft:snowy_slopes"
32,"minecraft:frozen_peaks"
33,"minecraft:jagged_peaks"
34,"minecraft:stony_peaks"
35,"minecraft:river"
36,"minecraft:frozen_river"
37,"minecraft:beach"
38,"minecraft:snowy_beach"
39,"minecraft:stony_shore"
40,"minecraft:warm_ocean"
41,"minecraft:lukewarm_ocean"
42,"minecraft:deep_lukewarm_ocean"
43,"minecraft:ocean"
44,"minecraft:deep_ocean"
45,"minecraft:cold_ocean"
46,"minecraft:deep_cold_ocean"
47,"minecraft:frozen_ocean"
48,"minecraft:deep_frozen_ocean"
49,"minecraft:mushroom_fields"
50,"minecraft:dripstone_caves"
51,"minecraft:lush_caves"
52,"minecraft:deep_dark"
53,"minecraft:nether_wastes"
54,"minecraft:warped_forest"
55,"minecraft:crimson_forest"
56,"minecraft:soul_sand_valley"
57,"minecraft:basalt_deltas"
58,"minecraft:the_end"
59,"minecraft:end_highlands"
60,"minecraft:end_midlands"
61,"minecraft:small_end_islands"
62,"minecraft:end_barrens"
63,"desolation:charred_forest"
64,"blueprint:original_source_marker"
65,"terrablender:deferred_placeholder"
66,"biomesoplenty:auroral_garden"
67,"biomesoplenty:bamboo_grove"
68,"biomesoplenty:bayou"
69,"biomesoplenty:bog"
70,"biomesoplenty:cherry_blossom_grove"
71,"biomesoplenty:clover_patch"
72,"biomesoplenty:cold_desert"
73,"biomesoplenty:coniferous_forest"
74,"biomesoplenty:crag"
75,"biomesoplenty:dead_forest"
76,"biomesoplenty:dryland"
77,"biomesoplenty:dune_beach"
78,"biomesoplenty:field"
79,"biomesoplenty:fir_clearing"
80,"biomesoplenty:floodplain"
81,"biomesoplenty:forested_field"
82,"biomesoplenty:fungal_jungle"
83,"biomesoplenty:grassland"
84,"biomesoplenty:highland"
85,"biomesoplenty:highland_moor"
86,"biomesoplenty:jade_cliffs"
87,"biomesoplenty:lavender_field"
88,"biomesoplenty:lavender_forest"
89,"biomesoplenty:lush_desert"
90,"biomesoplenty:lush_savanna"
91,"biomesoplenty:maple_woods"
92,"biomesoplenty:marsh"
93,"biomesoplenty:mediterranean_forest"
94,"biomesoplenty:muskeg"
95,"biomesoplenty:mystic_grove"
96,"biomesoplenty:old_growth_dead_forest"
97,"biomesoplenty:old_growth_woodland"
98,"biomesoplenty:ominous_woods"
99,"biomesoplenty:orchard"
100,"biomesoplenty:origin_valley"
101,"biomesoplenty:pasture"
102,"biomesoplenty:prairie"
103,"biomesoplenty:pumpkin_patch"
104,"biomesoplenty:rainforest"
105,"biomesoplenty:redwood_forest"
106,"biomesoplenty:rocky_rainforest"
107,"biomesoplenty:rocky_shrubland"
108,"biomesoplenty:scrubland"
109,"biomesoplenty:seasonal_forest"
110,"biomesoplenty:seasonal_orchard"
111,"biomesoplenty:shrubland"
112,"biomesoplenty:snowy_coniferous_forest"
113,"biomesoplenty:snowy_fir_clearing"
114,"biomesoplenty:snowy_maple_woods"
115,"biomesoplenty:tropics"
116,"biomesoplenty:tundra"
117,"biomesoplenty:volcanic_plains"
118,"biomesoplenty:volcano"
119,"biomesoplenty:wasteland"
120,"biomesoplenty:wetland"
121,"biomesoplenty:wooded_scrubland"
122,"biomesoplenty:wooded_wasteland"
123,"biomesoplenty:woodland"
124,"biomesoplenty:glowing_grotto"
125,"biomesoplenty:spider_nest"
126,"biomesoplenty:crystalline_chasm"
127,"biomesoplenty:erupting_inferno"
128,"biomesoplenty:undergrowth"
129,"biomesoplenty:visceral_heap"
130,"biomesoplenty:withered_abyss"
131,"autumnity:maple_forest"
132,"autumnity:pumpkin_fields"
133,"quark:glimmering_weald"
