"Mod name","Registry name","Display name","Plant Type","Tags"
"Autumnity","autumnity:autumn_crocus","Autumn Crocus","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Autumnity","autumnity:foul_berries","Foul Berries","plains","supplementaries:flower_box_plantable, autumnity:turkey_food, minecraft:fox_food"
"Autumnity","autumnity:maple_sapling","Maple Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Autumnity","autumnity:orange_maple_sapling","Orange Maple Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Autumnity","autumnity:red_maple_sapling","Red Maple Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Autumnity","autumnity:yellow_maple_sapling","Yellow Maple Sapling","plains","supplementaries:flower_box_plantable, quark:seed_pouch_holdable, minecraft:saplings"
"Biomes O' Plenty","biomesoplenty:barley","Barley","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:blue_hydrangea","Blue Hydrangea","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Biomes O' Plenty","biomesoplenty:brimstone_cluster","Brimstone Cluster","nether",""
"Biomes O' Plenty","biomesoplenty:burning_blossom","Burning Blossom","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:bush","Bush","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:cattail","Cattail","beach","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:clover","Clover","plains","supplementaries:flower_box_plantable, sereneseasons:spring_crops, sereneseasons:summer_crops"
"Biomes O' Plenty","biomesoplenty:dead_grass","Dead Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:dead_sapling","Dead Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:desert_grass","Desert Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:dune_grass","Dune Grass","plains","supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:eyebulb","Eyebulb","nether",""
"Biomes O' Plenty","biomesoplenty:fir_sapling","Fir Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:flowering_oak_sapling","Flowering Oak Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
"Biomes O' Plenty","biomesoplenty:glowflower","Glowflower","plains","supplementaries:flower_box_plantable, minecraft:flowers, minecraft:small_flowers"
"Biomes O' Plenty","biomesoplenty:glowshroom","Glowshroom","plains","quark:seed_pouch_holdable, sereneseasons:autumn_crops, sereneseasons:winter_crops, forge:mushrooms, supplementaries:flower_box_plantable, sereneseasons:summer_crops, sereneseasons:spring_crops, farmersdelight:cabbage_roll_ingredients"
"Biomes O' Plenty","biomesoplenty:goldenrod","Goldenrod","plains","supplementaries:flower_box_plantable, minecraft:tall_flowers, minecraft:flowers"
"Biomes O' Plenty","biomesoplenty:hellbark_sapling","Hellbark Sapling","plains","sereneseasons:autumn_crops, minecraft:saplings, sereneseasons:spring_crops, sereneseasons:summer_crops, quark:seed_pouch_holdable, sereneseasons:winter_crops, supplementaries:flower_box_plantable"
