"Mod name","Registry name","Effect Name","ID","Color","Is Bad","Is Beneficial"
"Alex's Mobs","alexsmobs:bug_pheromones","alexsmobs.potion.bug_pheromones",77,"0x0078464B (   7882315)","false","true"
"Alex's Mobs","alexsmobs:clinging","alexsmobs.potion.clinging",79,"0x00BD4B4B (  12405579)","false","true"
"Alex's Mobs","alexsmobs:debilitating_sting","alexsmobs.potion.debilitating_sting",83,"0x00FFF385 (  16774021)","false","false"
"Alex's Mobs","alexsmobs:earthquake","alexsmobs.potion.earthquake",85,"0x00F0E9E1 (  15788513)","true","false"
"Alex's Mobs","alexsmobs:ender_flu","alexsmobs.potion.ender_flu",80,"0x006836AA (   6829738)","true","false"
"Alex's Mobs","alexsmobs:exsanguination","alexsmobs.potion.exsanguination",84,"0x00ED5151 (  15552849)","true","false"
"Alex's Mobs","alexsmobs:fear","alexsmobs.potion.fear",81,"0x007474F7 (   7632119)","false","false"
"Alex's Mobs","alexsmobs:fleet_footed","alexsmobs.potion.fleet_footed",86,"0x00685441 (   6837313)","false","true"
"Alex's Mobs","alexsmobs:knockback_resistance","alexsmobs.potion.knockback_resistance",70,"0x00865337 (   8803127)","false","true"
"Alex's Mobs","alexsmobs:lava_vision","alexsmobs.potion.lava_vision",71,"0x00FF6A00 (  16738816)","false","true"
"Alex's Mobs","alexsmobs:oiled","alexsmobs.potion.oiled",75,"0x00FFE89C (  16771228)","false","true"
"Alex's Mobs","alexsmobs:orcas_might","alexsmobs.potion.orcas_might",76,"0x004A4A52 (   4868690)","false","true"
"Alex's Mobs","alexsmobs:poison_resistance","alexsmobs.potion.poison_resistance",74,"0x0051FFAF (   5373871)","false","true"
"Alex's Mobs","alexsmobs:power_down","alexsmobs.potion.power_down",87,"0x00000000 (         0)","false","false"
"Alex's Mobs","alexsmobs:soulsteal","alexsmobs.potion.soulsteal",78,"0x0093FDFF (   9698815)","false","true"
"Alex's Mobs","alexsmobs:sunbird_blessing","alexsmobs.potion.sunbird_blessing",72,"0x00FFEAB9 (  16771769)","false","true"
"Alex's Mobs","alexsmobs:sunbird_curse","alexsmobs.potion.sunbird_curse",73,"0x00FFEAB9 (  16771769)","true","false"
"Alex's Mobs","alexsmobs:tigers_blessing","alexsmobs.potion.tigers_blessing",82,"0x00FFD75E (  16766814)","false","true"
"Autumnity","autumnity:extension","effect.autumnity.extension",124,"0x00FFDA84 (  16767620)","false","true"
"Autumnity","autumnity:foul_taste","effect.autumnity.foul_taste",125,"0x00E0A42C (  14722092)","false","true"
"Born in Chaos","born_in_chaos_v1:aim","effect.born_in_chaos_v1.aim",112,"0xFF82B34E (  -8211634)","false","false"
"Born in Chaos","born_in_chaos_v1:barbedattack","effect.born_in_chaos_v1.barbedattack",106,"0xFF728193 (  -9272941)","false","false"
"Born in Chaos","born_in_chaos_v1:block_break","effect.born_in_chaos_v1.block_break",97,"0xFF564633 ( -11123149)","true","false"
"Born in Chaos","born_in_chaos_v1:bone_barrier","effect.born_in_chaos_v1.bone_barrier",115,"0xFFA29E8D (  -6119795)","false","true"
"Born in Chaos","born_in_chaos_v1:bone_fracture","effect.born_in_chaos_v1.bone_fracture",105,"0xFF6E6363 (  -9542813)","true","false"
"Born in Chaos","born_in_chaos_v1:cursed_mark","effect.born_in_chaos_v1.cursed_mark",98,"0xFF4E2125 ( -11656923)","true","false"
"Born in Chaos","born_in_chaos_v1:detonation","effect.born_in_chaos_v1.detonation",102,"0xFF514F4E ( -11448498)","true","false"
"Born in Chaos","born_in_chaos_v1:dogtruce","effect.born_in_chaos_v1.dogtruce",104,"0xFF151519 ( -15395559)","false","false"
"Born in Chaos","born_in_chaos_v1:fish_breath","effect.born_in_chaos_v1.fish_breath",110,"0xFF4F5A5B ( -11576741)","false","false"
"Born in Chaos","born_in_chaos_v1:furious_rampage","effect.born_in_chaos_v1.furious_rampage",95,"0xFFC80000 (  -3670016)","false","true"
"Born in Chaos","born_in_chaos_v1:gaze_of_terror","effect.born_in_chaos_v1.gaze_of_terror",101,"0xFF0A0A0B ( -16119285)","true","false"
"Born in Chaos","born_in_chaos_v1:infernal_flame","effect.born_in_chaos_v1.infernal_flame",111,"0xFF70AA1F (  -9393633)","true","false"
