"Registry name","Name","Type","Rarity","ID"
"alexsmobs:board_return","enchantment.alexsmobs.board_return","straddleboard","UNCOMMON (5)",51
"alexsmobs:lavawax","enchantment.alexsmobs.lavawax","straddleboard","UNCOMMON (5)",49
"alexsmobs:serpentfriend","enchantment.alexsmobs.serpentfriend","straddleboard","RARE (2)",50
"alexsmobs:straddle_jump","enchantment.alexsmobs.straddle_jump","straddleboard","COMMON (10)",48
"cofh_core:holding","enchantment.cofh_core.holding","VANISHABLE","COMMON (10)",47
"domesticationinnovation:amphibious","enchantment.domesticationinnovation.amphibious","pet","UNCOMMON (5)",66
"domesticationinnovation:blazing_protection","enchantment.domesticationinnovation.blazing_protection","pet","VERY_RARE (1)",80
"domesticationinnovation:blight_curse","enchantment.domesticationinnovation.blight_curse","pet","VERY_RARE (1)",85
"domesticationinnovation:bubbling","enchantment.domesticationinnovation.bubbling","pet","VERY_RARE (1)",64
"domesticationinnovation:chain_lightning","enchantment.domesticationinnovation.chain_lightning","pet","RARE (2)",57
"domesticationinnovation:charisma","enchantment.domesticationinnovation.charisma","pet","VERY_RARE (1)",69
"domesticationinnovation:deflection","enchantment.domesticationinnovation.deflection","pet","RARE (2)",55
"domesticationinnovation:defusal","enchantment.domesticationinnovation.defusal","pet","UNCOMMON (5)",72
"domesticationinnovation:disc_jockey","enchantment.domesticationinnovation.disc_jockey","pet","RARE (2)",71
"domesticationinnovation:fireproof","enchantment.domesticationinnovation.fireproof","pet","UNCOMMON (5)",53
"domesticationinnovation:frost_fang","enchantment.domesticationinnovation.frost_fang","pet","RARE (2)",59
"domesticationinnovation:gluttonous","enchantment.domesticationinnovation.gluttonous","pet","COMMON (10)",75
"domesticationinnovation:healing_aura","enchantment.domesticationinnovation.healing_aura","pet","RARE (2)",81
"domesticationinnovation:health_boost","enchantment.domesticationinnovation.health_boost","pet","COMMON (10)",52
"domesticationinnovation:health_siphon","enchantment.domesticationinnovation.health_siphon","pet","RARE (2)",63
"domesticationinnovation:herding","enchantment.domesticationinnovation.herding","pet","UNCOMMON (5)",65
"domesticationinnovation:immaturity_curse","enchantment.domesticationinnovation.immaturity_curse","pet","VERY_RARE (1)",86
